Box,Lat,Long,Line
B01,47.76774,8.99624,B
B02,47.76772,8.99677,B
B03,47.76769,8.99702,B
B04,47.7677,8.99731,B
B05,47.76786,8.99699,B
B06,47.76803,8.99667,B
B07,47.76836,8.99661,B
B08,47.76847,8.99668,B
B09,47.76834,8.99706,B
B10,47.76837,8.9974,B
B11,47.76835,8.99789,B
B12,47.76833,8.9984,B
B13,47.7681,8.99855,B
B14,47.76846,8.99798,B
B15,47.76859,8.99757,B
B16,47.76861,8.99723,B
B17,47.76887,8.99698,B
B18,47.76909,8.997,B
B19,47.76929,8.99712,B
B20,47.76883,8.99679,B
B21,47.76867,8.99663,B
B22,47.76865,8.99624,B
B23,47.76868,8.99598,B
B24,47.76869,8.99576,B
B25,47.76889,8.99578,B
B26,47.76879,8.99509,B
B27,47.76883,8.99456,B
B28,47.76906,8.99435,B
B29,47.76924,8.99389,B
B30,47.76932,8.99345,B
B31,47.76928,8.99295,B
B32,47.76956,8.99287,B
B33,47.76961,8.99303,B
C01,47.76491,8.99596,C
C02,47.76496,8.99579,C
C03,47.76481,8.99583,C
C04,47.76458,8.99579,C
C05,47.76465,8.99553,C
C06,47.7647,8.99553,C
C07,47.7647,8.99539,C
C08,47.76504,8.99542,C
C09,47.76518,8.99516,C
C10,47.76549,8.99533,C
C11,47.76547,8.9953,C
C12,47.76562,8.9951,C
C13,47.76572,8.99503,C
C14,47.76582,8.99487,C
C15,47.76588,8.99489,C
C16,47.76601,8.99465,C
C17,47.76627,8.99437,C
D01,47.76907,8.99544,D
D02,47.7691,8.99569,D
D03,47.76913,8.99609,D
D04,47.76932,8.99683,D
F01,47.76709,8.9979,F
F02,47.76686,8.99813,F
F03,47.76665,8.99835,F
F04,47.76659,8.99838,F
F05,47.7664,8.99845,F
F06,47.76621,8.99847,F
F07,47.766,8.99851,F
F08,47.76575,8.99854,F
F09,47.76542,8.99815,F
F10,47.76524,8.99854,F
F11,47.76514,8.99873,F
F12,47.76505,8.99876,F
F13,47.76499,8.99871,F
F14,47.76487,8.99877,F
F15,47.7648,8.99882,F
F16,47.76472,8.99903,F
F17,47.76469,8.99897,F
F18,47.76461,8.99919,F
F19,47.7645,8.99912,F
F20,47.76451,8.99928,F
F21,47.76439,8.99913,F
F22,47.76428,8.99924,F
F23,47.7643,8.99935,F
F24,47.7641,8.99942,F
F25,47.76408,8.99949,F
F26,47.76401,8.99968,F
F27,47.76398,8.99966,F
F28,47.76397,8.99977,F
F29,47.7638,8.99988,F
F30,47.76363,9.00015,F
G01,47.76712,8.99626,G
G02,47.76713,8.99594,G
G03,47.76715,8.9958,G
G04,47.767,8.99518,G
G05,47.7668,8.99489,G
G06,47.76647,8.99452,G
G07,47.76673,8.99426,G
G08,47.76681,8.99395,G
G09,47.7669,8.99319,G
G10,47.76693,8.99292,G
G11,47.76677,8.99281,G
G12,47.7668,8.99261,G
G13,47.7668,8.99233,G
G14,47.76685,8.99205,G
G15,47.76691,8.9916,G
G16,47.7671,8.99141,G
G17,47.76682,8.99133,G
G18,47.76639,8.99126,G
G19,47.76615,8.99142,G
G20,47.76587,8.99132,G
G21,47.76579,8.99118,G
G22,47.76569,8.99102,G
G23,47.76561,8.99097,G
G24,47.76558,8.99064,G
G25,47.76556,8.99044,G
G26,47.76544,8.99025,G
G27,47.76544,8.98959,G
G28,47.76532,8.9895,G
G29,47.7652,8.98949,G
G30,47.76499,8.98955,G
G31,47.76487,8.98951,G
G32,47.76481,8.98934,G
G33,47.7647,8.98903,G
Gh01,47.76536,9.00094,Gh
Gh02,47.76533,9.00113,Gh
Gh03,47.76513,9.00111,Gh
Gh04,47.76493,9.00097,Gh
Gh05,47.76488,9.00088,Gh
Gh06,47.7649,9.00063,Gh
Gh07,47.76501,9.0006,Gh
Gh08,47.76518,9.0005,Gh
Gh09,47.76527,9.00048,Gh
Gh10,47.76512,9.00075,Gh
H01,47.76538,8.99433,H
H02,47.76555,8.99425,H
H03,47.7659,8.99412,H
H04,47.76601,8.99406,H
H05,47.76614,8.9938,H
H06,47.76598,8.99342,H
H07,47.76596,8.9933,H
H08,47.76587,8.99317,H
H09,47.76583,8.99306,H
H10,47.76573,8.99277,H
H11,47.76557,8.99257,H
H12,47.76531,8.9923,H
H13,47.76512,8.99169,H
H14,47.7651,8.9913,H
H15,47.76502,8.99098,H
H16,47.76485,8.99083,H
H17,47.76481,8.99061,H
H18,47.76467,8.99044,H
H19,47.76466,8.99032,H
H20,47.76463,8.99024,H
H21,47.76467,8.99,H
H22A,47.76464,8.98972,H
H22B,47.76461,8.98953,H
H23,47.76465,8.98941,H
H24,47.76467,8.98922,H
R01,47.76624,8.99776,R
R02,47.76526,8.99774,R
R03,47.76496,8.99759,R
R04,47.76495,8.99756,R
R05,47.76493,8.99754,R
R06,47.76504,8.99702,R
R07,47.76499,8.99673,R
S01,47.76581,8.99733,S
S02,47.76589,8.99733,S
S03,47.76595,8.9973,S
S04,47.76618,8.99728,S
S05,47.76631,8.99724,S
S06,47.76636,8.99718,S
S07,47.7665,8.99714,S
S08,47.76659,8.99709,S
S09,47.76667,8.99701,S
S10,47.76669,8.99675,S
S11,47.76675,8.9967,S
S12,47.76686,8.99645,S
S13,47.76681,8.99631,S
S14,47.76677,8.99566,S
S15,47.76673,8.99561,S
S16,47.76627,8.99526,S
S17,47.76657,8.99543,S
S18,47.7664,8.99505,S
S19,47.76623,8.99546,S
S20,47.76602,8.99541,S
S21,47.76594,8.99555,S
S22,47.76583,8.99566,S
S23,47.76558,8.99584,S
S24,47.76546,8.99588,S
S25,47.76535,8.99613,S
S26,47.76539,8.99619,S
S27,47.76534,8.99629,S
S28,47.76539,8.99654,S
S29,47.76549,8.99681,S
S30,47.76545,8.99684,S
S31,47.76553,8.997,S
S32,47.76569,8.99713,S
S33,47.76563,8.99731,S
T01,47.76421,8.98848,T
T02,47.76423,8.98865,T
T03,47.76419,8.98893,T
T04,47.76421,8.9892,T
T05,47.76417,8.98957,T
T06,47.7641,8.98945,T
T07,47.76401,8.98938,T
T08,47.76401,8.98938,T
T09,47.7636,8.98868,T
T10,47.76346,8.98847,T
V01,47.76431,8.99533,V
V02,47.76411,8.99551,V
V03,47.76403,8.99567,V
V04,47.76397,8.99567,V
V05,47.76387,8.99565,V
V06,47.76376,8.99576,V
V07,47.76387,8.99596,V
V08,47.76415,8.99642,V
V09,47.7638,8.99688,V
V10,47.76365,8.99694,V
V11,47.76361,8.99725,V
V12,47.76348,8.99736,V
V13,47.76343,8.99757,V
V14,47.76329,8.99763,V
W01,47.77451,9.00056,W
W02,47.77449,9.00076,W
W03,47.77453,9.00079,W
W04,47.77451,9.00105,W
W05,47.77459,9.00124,W
W06,47.77456,9.0014,W
W07,47.77465,9.00163,W
W08,47.7746,9.00192,W
W09,47.77461,9.00199,W
W10,47.77463,9.00208,W
W11,47.77466,9.00219,W
W12,47.77476,9.00217,W
W13,47.77475,9.00197,W
W14,47.77479,9.00178,W
W15,47.77477,9.00152,W
W16,47.77493,9.00122,W
W17,47.77506,9.00127,W
W18,47.77505,9.00144,W
W19,47.77513,9.00166,W
W20,47.7751,9.00186,W
W21,47.77504,9.00196,W
W22,47.77507,9.00219,W
W23,47.77507,9.00238,W
W24,47.77505,9.00255,W
W25,47.77497,9.0039,W
W26,47.77499,9.00498,W
W27,47.77528,9.00544,W
W28,47.77511,9.00564,W
W29,47.77514,9.00605,W
W30,47.77512,9.00629,W
W31,47.77512,9.00681,W
W32,47.77529,9.00698,W
W33,47.7754,9.00723,W
W34,47.77565,9.00722,W
W35,47.77562,9.00746,W
W36,47.77532,9.00749,W
W37,47.77512,9.00732,W
W38,47.77501,9.00659,W
W39,47.77497,9.00623,W
W40,47.7749,9.00577,W
W41,47.77502,9.00557,W
W42,47.7749,9.00471,W
W43,47.77489,9.00454,W
W44,47.77489,9.0043,W
W45,47.77492,9.0041,W
W46,47.77491,9.0037,W
W47,47.77483,9.00345,W
W48,47.77492,9.00303,W
W49,47.77491,9.00271,W
X01,47.77503,9.00062,X
X02,47.77508,9.00043,X
X03,47.77514,9.00024,X
X04,47.7752,8.99992,X
X05,47.77525,8.99972,X
X06,47.77534,8.99953,X
X07,47.77535,8.99929,X
X08,47.77542,8.99917,X
X09,47.77562,8.99835,X
X10,47.77576,8.99802,X
X11,47.77584,8.99756,X
X12,47.7758,8.99751,X
X13,47.77572,8.9975,X
X14,47.7756,8.99743,X
X15,47.77555,8.99737,X
X16,47.77544,8.99736,X
X17,47.77533,8.9972,X
X18,47.77541,8.99695,X
X19,47.77552,8.99682,X
X20,47.77559,8.99657,X
X21,47.77565,8.99644,X
X22,47.77574,8.99606,X
X23,47.77578,8.99582,X
X24,47.77605,8.99561,X
X25,47.77614,8.99551,X
X26,47.77621,8.99537,X
X27,47.77633,8.99543,X
X28,47.77641,8.99541,X
X29,47.77655,8.99532,X
X30,47.77661,8.99532,X
X31,47.77676,8.99525,X
X32,47.77685,8.9953,X
X33,47.77711,8.99534,X
Y01,47.77716,8.99553,Y
Y02,47.77679,8.99561,Y
Y03,47.77665,8.99585,Y
Y04,47.77659,8.99642,Y
Y05,47.77683,8.99601,Y
Y06,47.77691,8.99583,Y
Y07,47.77669,8.99659,Y
Y08,47.77706,8.99624,Y
Y09,47.77686,8.99655,Y
Y10,47.77667,8.99678,Y
Y11,47.77659,8.99702,Y
Y12,47.7765,8.99724,Y
Y13,47.77635,8.99766,Y
Y14,47.7763,8.99784,Y
Y15,47.77615,8.99822,Y
Y16,47.7761,8.99814,Y
Y17,47.776,8.99814,Y
Y18,47.77591,8.99808,Y
D1,47.768629,8.996164,
D2,47.766376,8.995722,
D3,47.764242,8.995379,
D4,47.764699,8.989398,
D5,47.766752,8.992134,
